Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Water,Cropland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Shrubland,0,0,0,0,0,0,0,0,170,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Wetland,0,0,0,0,0,40,0,0,568,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Grassland,0,0,56,0,0,70,0,0,797,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Forest,0,0,209,0,0,180,0,0,1559,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Water,0,0,283,0,0,0,0,0,403,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Cropland,0,0,2,0,0,5,0,0,323,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Bareland,0,0,4,0,0,37,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Built-up,0,0,1,0,0,13,0,0,143,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Grassland,0,386,56,34,86,70,466,294,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Wetland,56,197,0,19,2,40,99,86,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Forest,291,0,209,158,115,180,624,405,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Bareland,2,81,4,0,54,37,172,35,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Water,26,457,283,111,45,0,288,69,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Shrubland,18,18,0,0,2,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Built-up,19,52,1,1,0,13,126,31,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Cropland,55,177,2,2,22,5,0,110,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Grassland,0,0,0,0,0,101,0,0,0,0,59,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Wetland,0,0,0,0,0,273,0,0,0,0,280,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Bareland,0,0,0,0,0,33,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Cropland,0,0,0,0,0,10,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Water,0,0,0,0,0,0,0,0,0,0,456,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Forest,0,0,0,0,0,300,0,0,0,0,199,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,Built-up,0,0,0,0,0,7,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Grassland,0,284,27,4,167,31,340,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Forest,0,0,81,3,202,270,284,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Wetland,0,244,0,0,72,166,51,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Bareland,0,78,0,0,46,65,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Shrubland,0,31,3,0,14,2,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Water,0,274,90,14,105,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Built-up,0,1,0,0,0,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,Cropland,0,48,1,0,53,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Wetland,219,550,0,16,0,184,103,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Forest,101,0,4,55,0,96,151,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Shrubland,30,81,0,4,0,5,33,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Bareland,1,54,3,0,0,15,16,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Cropland,12,61,1,11,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Built-up,3,77,0,28,0,17,54,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Water,57,604,57,158,0,0,45,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,Grassland,0,275,21,92,0,72,178,0,0,0,0,10
