Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Water,0,0,0,0,0,0,0,0,0,216,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Forest,0,0,0,0,0,108,0,0,0,131,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQN_M_R,Cropland,0,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Grassland,196,253,71,44,119,39,0,0,276,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Wetland,1,1,0,0,0,1,2,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Forest,0,226,243,89,86,92,232,0,287,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Cropland,47,0,3,3,49,3,74,0,80,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Bareland,29,75,6,0,75,7,87,0,89,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Built-up,19,57,4,2,0,4,46,0,58,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Water,132,85,221,46,50,0,116,0,193,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Shrubland,14,8,0,3,4,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQN_M_R,Permanent_ice_and_snow,0,1,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Shrubland,15,38,6,0,12,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Grassland,126,416,13,12,140,124,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Forest,0,190,6,0,143,319,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Bareland,23,61,0,0,45,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Built-up,2,34,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Water,35,89,4,3,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Wetland,18,22,0,0,10,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Cropland,11,0,0,2,15,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQN_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Shrubland,63,30,3,34,0,12,18,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Forest,0,85,5,47,0,37,49,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Bareland,55,19,0,0,0,30,9,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Built-up,59,28,0,22,0,10,9,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Cropland,33,0,1,46,0,8,23,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Wetland,120,1,0,1,0,27,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Water,319,11,23,1,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQN_M_R,Grassland,296,122,15,110,0,121,0,0,0,0,0,7
