Dataset,MajorityClass,Shrubland,Grassland,Wetland,Water,Forest,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Non_Wetland,2,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Shrubland,0,25,5,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Grassland,61,0,69,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Wetland,131,478,0,162,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Water,66,266,40,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Cropland,3,31,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Bareland,0,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,Forest,176,364,66,79,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Grassland,0,0,0,108,0,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Wetland,0,0,0,317,0,0,0,0,0,282,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Shrubland,0,0,0,7,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Cropland,0,0,0,33,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Water,0,0,0,0,0,0,0,0,0,383,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Built-up,0,0,0,9,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Forest,0,0,0,154,0,0,0,0,0,86,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Bareland,0,0,0,25,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Grassland,185,0,58,28,231,21,16,184,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Wetland,94,57,0,48,191,15,8,96,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Forest,119,120,179,68,0,35,36,193,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Water,62,12,306,0,263,65,51,141,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Shrubland,0,9,0,0,14,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Bareland,19,1,9,5,29,0,33,56,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Cropland,50,26,2,11,76,12,20,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Built-up,7,1,0,0,11,2,0,32,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Grassland,0,0,46,38,157,0,35,89,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Wetland,0,0,0,176,237,4,29,80,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Shrubland,0,0,2,2,22,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Built-up,0,0,0,0,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Water,0,0,121,0,106,7,63,131,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Forest,0,0,85,155,0,2,56,76,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Cropland,0,0,0,6,19,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Bareland,0,0,0,17,7,0,14,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,Shrubland,0,19,0,2,40,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,Wetland,0,273,0,222,515,32,0,86,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,Cropland,0,18,9,15,24,17,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,Water,0,95,53,0,304,35,0,36,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,Bareland,0,3,0,3,3,0,0,0,0,0,0,0
