Dataset,MajorityClass,Forest,Built-up,Cropland,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Non_Wetland,0,0,0,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Cropland,68,50,0,103,30,6,274,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Bareland,54,20,0,0,59,10,186,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Built-up,21,0,0,108,10,1,86,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Water,286,3,0,548,0,144,763,154,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Forest,0,30,0,534,279,164,668,270,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Non_Water,0,0,0,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Wetland,53,0,0,146,62,0,163,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Grassland,0,0,0,0,72,147,0,0,279,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Forest,0,0,0,0,125,356,0,0,360,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Bareland,0,0,0,0,60,81,0,0,135,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Shrubland,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Cropland,0,0,0,0,9,12,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Water,0,0,0,0,0,404,0,0,233,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Wetland,0,0,0,0,2,0,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMP_M_R,Built-up,0,0,0,0,3,9,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Bareland,0,0,0,0,193,0,0,0,0,111,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Grassland,0,0,0,0,161,0,0,0,0,145,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Shrubland,0,0,0,0,2,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Water,0,0,0,0,0,0,0,0,0,483,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Cropland,0,0,0,0,7,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Wetland,0,0,0,0,75,0,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Forest,0,0,0,0,232,0,0,0,0,223,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMP_M_R,Built-up,0,0,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Grassland,253,161,335,96,72,147,0,362,0,0,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Bareland,101,184,176,0,60,81,163,239,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Forest,0,134,266,161,125,356,257,332,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Built-up,31,0,61,5,3,9,49,46,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Water,273,132,232,167,0,404,280,404,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Shrubland,2,1,4,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Cropland,57,88,0,4,9,12,83,114,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMP_M_R,Wetland,8,2,5,0,2,0,5,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Grassland,100,145,578,2,300,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Bareland,80,66,214,0,212,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Forest,0,143,253,2,484,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Built-up,1,0,70,4,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Shrubland,3,7,18,0,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Water,67,30,202,18,0,104,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Wetland,21,16,45,0,93,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMP_M_R,Cropland,7,20,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Forest,0,0,55,52,93,14,50,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Shrubland,27,0,7,11,12,3,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Bareland,157,0,22,0,138,23,54,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Water,461,0,37,125,0,82,103,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Cropland,39,0,0,100,10,1,46,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Built-up,71,0,45,37,13,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Wetland,178,0,10,14,90,0,23,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMP_M_R,Grassland,335,0,128,147,172,56,0,0,0,0,0,8
