Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Lichens_and_Mosses,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNV_M_R,Permanent_ice_and_snow,4,0,6,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Grassland,0,0,0,0,0,261,0,0,0,146,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Water,0,0,0,0,0,0,0,0,0,817,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Wetland,0,0,0,0,0,200,0,0,0,259,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Bareland,0,0,0,0,0,126,0,0,0,86,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Shrubland,0,0,0,0,0,61,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Forest,0,0,0,0,0,417,0,0,0,413,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Cropland,0,0,0,0,0,138,0,0,0,76,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Built-up,0,0,0,0,0,13,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Grassland,0,581,49,287,140,15,107,665,0,0,28,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Wetland,3,52,4,85,7,9,0,193,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Bareland,1,328,0,101,231,7,62,459,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Built-up,1,222,3,76,0,0,17,302,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Water,3,587,273,288,173,0,516,999,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Forest,117,1064,104,0,429,79,353,1549,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Cropland,30,0,14,223,159,1,36,550,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Shrubland,2,20,1,14,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNV_M_R,Permanent_ice_and_snow,0,14,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Grassland,0,709,15,203,152,113,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Bareland,0,274,0,54,204,131,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Water,0,289,26,115,75,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Forest,0,896,0,0,543,594,41,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Shrubland,0,181,0,77,92,37,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Wetland,0,167,4,75,63,114,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Built-up,0,64,5,32,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Cropland,0,0,3,96,97,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNV_M_R,Permanent_ice_and_snow,0,0,0,5,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Water,131,63,192,651,0,0,62,0,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Forest,173,223,160,0,0,88,6,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Shrubland,50,83,57,246,0,27,5,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Wetland,106,22,40,353,0,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Bareland,1,54,0,100,0,33,1,0,0,0,0,29
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Cropland,125,0,133,223,0,37,3,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Built-up,5,108,113,329,0,44,0,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNV_M_R,Grassland,0,141,177,280,0,67,5,0,0,0,0,5
