Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Shrubland,0,0,0,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Grassland,0,0,0,0,8,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Cropland,0,0,0,0,13,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Wetland,0,0,0,0,24,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Bareland,0,0,0,0,98,0,0,0,54,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Water,0,0,0,0,0,0,0,0,124,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEE_M_R,Forest,0,0,0,0,94,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Water,44,41,34,46,0,14,22,0,0,79,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Cropland,28,3,8,20,0,0,14,0,0,35,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Bareland,43,28,0,39,14,17,40,0,0,59,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Built-up,7,0,2,6,0,6,0,0,0,6,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Forest,57,31,40,0,11,37,44,0,0,68,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Grassland,0,3,2,10,0,10,3,0,0,8,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Wetland,0,0,1,0,0,0,1,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEE_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Grassland,0,0,7,21,9,22,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Wetland,0,0,14,11,22,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Forest,0,1,48,0,61,26,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Water,0,1,86,46,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Cropland,0,0,13,13,20,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Bareland,0,1,0,45,52,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Built-up,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEE_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Cropland,6,0,3,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Wetland,5,0,15,22,13,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Bareland,2,3,0,29,24,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Built-up,1,0,0,7,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Water,3,5,61,72,0,33,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Forest,10,2,32,0,26,21,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEE_M_R,Grassland,0,1,8,11,6,9,0,0,0,0,0,0
