Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Cropland,Wetland,Permanent_ice_and_snow,Non_Water,Shrubland,Forest,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Built-up,2,8,0,0,0,1,0,0,6,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Forest,3,4,3,0,2,0,0,0,10,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Grassland,0,12,10,1,4,6,0,0,18,10,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,Permanent_ice_and_snow,1,5,4,1,0,2,0,0,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Grassland,0,15,9,6,17,8,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Wetland,0,14,4,9,5,0,1,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Bareland,0,0,26,32,30,12,4,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Built-up,0,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Cropland,0,5,2,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Water,0,43,0,0,4,3,5,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Permanent_ice_and_snow,0,7,1,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,Forest,0,3,0,0,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,0,25
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Bareland,0,0,0,11,0,28,0,0,0,0,0,39
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Grassland,0,0,0,1,0,6,0,0,0,0,0,22
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Water,0,0,0,0,0,28,0,0,0,0,0,13
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Permanent_ice_and_snow,0,0,0,1,0,2,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,Forest,0,0,0,0,0,0,0,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Wetland,8,30,0,13,6,0,12,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Bareland,6,0,0,22,10,7,24,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Water,2,42,0,0,1,7,6,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Grassland,0,7,0,3,4,4,2,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Built-up,0,10,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Forest,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,Permanent_ice_and_snow,0,0,0,7,0,0,0,0,0,0,0,0
