Dataset,MajorityClass,Forest,Grassland,Cropland,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Water,0,0,0,0,0,0,0,0,0,245,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDT_M_R,Built-up,0,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Grassland,228,0,152,77,41,20,86,317,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Forest,0,448,149,110,139,60,283,415,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Bareland,211,247,192,163,82,0,127,351,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Built-up,15,70,40,0,5,1,9,98,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Wetland,30,12,6,6,5,0,0,41,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Water,272,182,72,68,0,64,375,258,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Shrubland,4,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDT_M_R,Cropland,46,61,0,18,0,1,1,79,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Shrubland,6,0,24,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Grassland,166,0,385,123,143,2,116,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Forest,0,0,205,135,347,6,174,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Bareland,163,0,189,103,285,0,302,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Water,115,0,78,18,0,21,121,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Built-up,7,0,22,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Wetland,41,0,32,6,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDT_M_R,Cropland,4,0,0,7,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Shrubland,24,10,21,0,6,5,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Forest,0,72,70,0,85,63,10,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Wetland,206,45,16,0,83,16,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Bareland,264,60,84,0,203,0,64,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Built-up,94,20,75,0,20,15,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Water,475,38,26,0,0,47,54,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Cropland,10,12,0,0,2,36,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDT_M_R,Grassland,296,0,126,0,106,92,25,0,0,0,10
