Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R
289,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
309,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
310,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
311,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
316,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
320,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
321,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
324,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
325,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
