Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Water,Bareland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Grassland,0,0,0,4,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Forest,0,0,0,69,33,0,0,0,74,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Built-up,0,0,0,1,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Wetland,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Water,0,0,0,69,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Shrubland,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Grassland,0,0,0,9,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Forest,59,0,0,41,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Built-up,11,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Water,6,0,25,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,Wetland,1,0,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Grassland,0,0,0,0,13,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Wetland,0,0,0,0,16,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Water,0,0,0,0,0,0,0,0,0,52,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Forest,0,0,0,0,60,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,Bareland,0,0,0,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Grassland,0,46,11,0,10,2,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Wetland,0,11,6,0,27,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Water,0,18,12,2,0,2,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Forest,0,55,0,9,68,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Cropland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,Bareland,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,Wetland,7,0,34,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,Water,3,0,96,10,0,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,Forest,8,0,0,0,6,0,0,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,Built-up,2,0,3,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,Grassland,0,0,27,2,3,1,0,5,0,0,0
