Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFK_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Shrubland,0,0,0,0,0,0,0,0,262,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Wetland,0,0,0,53,0,0,0,0,575,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Grassland,0,0,0,87,0,38,0,0,354,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Forest,0,0,0,218,0,224,0,0,736,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Water,0,0,0,0,0,413,0,0,473,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Cropland,0,0,0,23,0,2,0,0,93,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Built-up,0,0,0,19,0,1,0,0,29,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFK_M_R,Bareland,0,0,0,92,0,27,0,0,22,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Shrubland,0,0,0,97,0,0,0,0,0,48,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Grassland,0,0,0,246,0,0,0,0,0,68,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Water,0,0,0,0,0,0,0,0,0,858,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Wetland,0,0,0,153,0,0,0,0,0,95,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Bareland,0,0,0,106,0,0,0,0,0,33,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Cropland,0,0,0,65,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Built-up,0,0,0,3,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFK_M_R,Forest,0,0,0,519,0,0,0,0,0,346,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Grassland,0,61,127,87,404,38,494,623,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Wetland,1,11,13,53,207,0,23,145,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Bareland,7,0,153,92,110,27,241,280,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Water,28,171,72,0,673,413,497,839,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Forest,205,122,191,218,0,224,637,891,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Built-up,27,4,0,19,59,1,149,215,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Cropland,43,2,123,23,213,2,0,377,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Shrubland,10,5,19,0,45,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFK_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Grassland,0,14,147,138,243,0,556,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Wetland,0,0,8,114,73,0,81,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Forest,0,1,315,593,0,36,464,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Shrubland,0,0,68,81,83,4,179,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Bareland,0,0,166,76,30,10,107,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Built-up,0,6,0,2,3,0,60,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Water,0,42,51,0,191,58,179,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFK_M_R,Cropland,0,8,88,6,68,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Wetland,87,6,0,70,222,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Forest,130,104,0,115,0,55,104,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Shrubland,109,39,0,98,265,55,55,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Water,149,127,0,0,903,249,50,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Cropland,116,132,0,21,146,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Built-up,13,104,0,12,122,0,101,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Bareland,1,0,0,41,50,11,26,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFK_M_R,Grassland,0,120,0,108,261,59,130,0,0,0,5
