Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Shrubland,Grassland,Cropland,Built-up,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Non_Wetland,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Forest,0,187,132,0,20,45,161,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Grassland,0,29,4,0,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Shrubland,0,10,7,1,3,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Wetland,0,0,108,6,0,0,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Water,0,124,0,18,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Non_Wetland,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Wetland,0,0,40,119,26,0,124,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Shrubland,0,0,1,12,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Grassland,0,0,0,14,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Bareland,0,0,0,1,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Water,0,35,0,198,44,0,108,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Forest,0,14,55,0,0,0,133,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,Grassland,0,5,0,33,3,65,0,1,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,Wetland,0,0,10,13,9,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,Forest,0,114,37,0,50,172,14,2,11,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,Bareland,0,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,Water,0,127,0,68,20,128,6,2,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXA_M_R,Grassland,0,0,7,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXA_M_R,Wetland,0,0,109,0,0,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXA_M_R,Forest,0,0,94,0,0,0,0,0,0,0,57,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXA_M_R,Water,0,0,0,0,0,0,0,0,0,0,82,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,Water,0,65,0,21,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,Wetland,0,0,90,25,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,Shrubland,0,0,0,4,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,Grassland,0,0,1,22,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,Forest,0,37,151,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,Wetland,0,0,44,129,3,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,Shrubland,0,0,0,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,Forest,0,0,9,0,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,Grassland,0,1,0,18,2,0,0,5,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,Bareland,0,0,0,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,Water,0,80,0,218,0,0,0,0,0,0,0,0
