Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Cropland,Water,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Forest
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Grassland,0,6,9,6,5,2,0,0,0,5,3,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Wetland,4,0,12,9,1,2,0,0,0,15,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Water,6,32,29,15,0,0,5,0,0,37,2,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Permanent_ice_and_snow,1,5,11,7,0,3,0,0,0,13,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEU_M_R,Forest,3,0,7,5,1,0,0,0,0,14,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Grassland,0,5,12,6,14,4,0,0,0,0,0,7
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Bareland,0,10,0,20,21,30,12,0,0,0,0,10
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Wetland,0,0,20,3,4,23,5,0,0,0,0,8
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Cropland,0,1,5,2,0,3,0,0,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Water,0,6,46,0,2,0,12,0,0,0,0,4
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Permanent_ice_and_snow,0,0,9,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEU_M_R,Forest,0,4,3,2,7,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Wetland,9,0,35,0,6,19,20,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Bareland,1,8,0,0,18,24,32,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Built-up,1,0,5,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Water,2,13,43,0,1,0,31,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Grassland,0,2,9,0,4,3,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Forest,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEU_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,0,1
