Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,Built-up,0,34,0,0,3,0,152,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Non_Wetland,1,10,3,1,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Grassland,91,438,218,17,172,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Wetland,112,0,202,6,697,499,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Bareland,63,43,0,18,60,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Water,243,868,172,42,0,457,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Forest,0,801,290,84,408,583,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Shrubland,7,14,10,1,11,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Built-up,46,79,108,0,53,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Cropland,26,35,6,2,7,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Wetland,37,0,424,13,591,548,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Non_Wetland,0,14,3,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Forest,0,885,523,146,293,651,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Grassland,15,397,332,57,57,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Water,42,1064,389,39,0,230,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Shrubland,0,19,17,6,5,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Cropland,8,26,50,9,2,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Bareland,0,29,0,7,5,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,Built-up,5,77,173,0,19,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Grassland,0,0,0,0,397,0,0,39,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Water,0,0,0,0,0,0,0,449,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Wetland,0,0,0,0,1228,0,0,453,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Bareland,0,0,0,0,59,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Shrubland,0,0,0,0,10,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Built-up,0,0,0,0,85,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Forest,0,0,0,0,481,0,0,147,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,Cropland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Grassland,157,124,140,79,24,0,0,0,394,9,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Wetland,170,0,263,30,157,127,0,0,309,4,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Forest,0,322,309,152,107,371,0,0,505,20,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Bareland,23,14,0,76,3,37,0,0,131,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Built-up,39,34,20,0,3,68,0,0,140,1,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Water,185,576,329,77,0,128,0,0,461,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,Cropland,18,0,7,8,0,17,0,0,42,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Grassland,207,349,3,218,118,0,0,0,0,122,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Wetland,388,0,29,244,349,0,0,0,0,120,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Bareland,27,19,0,109,36,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Water,267,578,50,162,0,0,0,0,0,42,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Forest,0,369,6,343,413,0,0,0,0,89,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Built-up,12,0,8,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,Cropland,3,1,0,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,Wetland,935,0,35,0,505,441,0,0,0,249,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,Forest,0,4,60,0,55,78,0,0,0,131,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,Water,730,123,41,0,0,154,0,0,0,78,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,Bareland,43,1,0,0,8,3,0,0,0,22,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,Built-up,104,0,19,0,18,5,0,0,0,37,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,Grassland,308,37,28,0,69,0,0,0,0,136,0,2
