Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Shrubland,Wetland,Non_Water,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MWB_M_R,Forest,0,0,0,149,0,0,0,86,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Grassland,0,19,2,0,80,35,12,0,84,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Bareland,18,0,101,17,88,58,80,0,211,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Built-up,24,50,0,9,87,85,69,0,154,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Forest,50,91,65,26,0,127,160,0,285,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Water,15,142,98,0,227,121,294,0,290,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Shrubland,6,12,1,0,27,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Cropland,3,1,6,0,45,16,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Wetland,2,20,11,2,119,41,0,0,143,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MWB_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Water,0,0,0,0,0,0,271,0,0,173,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Wetland,0,0,0,2,0,0,0,0,0,445,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Shrubland,0,0,0,0,0,0,0,0,0,62,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Bareland,0,0,0,6,0,0,69,0,0,81,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Forest,0,0,0,26,0,0,160,0,0,262,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Built-up,0,0,0,7,0,0,59,0,0,54,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Grassland,0,0,0,0,0,0,12,0,0,26,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MWB_M_R,Cropland,0,0,0,0,0,0,2,0,0,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Shrubland,0,0,45,6,8,0,36,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Grassland,0,0,43,3,4,0,23,0,38,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Forest,0,14,254,124,0,0,193,0,83,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Wetland,0,10,209,108,83,0,0,0,31,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Built-up,0,26,0,7,13,0,3,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Bareland,0,0,164,65,37,0,37,0,12,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Water,0,52,240,0,24,0,165,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Cropland,0,0,43,0,9,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MWB_M_R,Permanent_ice_and_snow,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Shrubland,28,7,0,31,52,0,27,0,18,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Bareland,9,0,0,70,57,0,45,0,8,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Built-up,17,87,0,78,100,0,36,0,39,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Forest,73,28,0,69,0,0,58,0,35,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Water,35,82,0,0,97,0,127,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Wetland,82,21,0,132,187,0,0,0,20,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Cropland,9,4,0,1,15,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MWB_M_R,Grassland,0,3,0,1,9,0,4,0,3,0,0
