Dataset,MajorityClass,Forest,Bareland,Wetland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Water,186,367,389,0,41,0,509,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Forest,0,454,661,0,173,196,830,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Shrubland,7,4,6,0,3,2,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Wetland,0,0,0,0,0,112,0,0,1278,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Grassland,0,0,217,0,0,46,0,0,1112,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Forest,0,0,395,0,0,113,0,0,1361,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Bareland,0,0,100,0,0,24,0,0,192,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Water,0,0,494,0,0,0,0,0,657,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Shrubland,0,0,0,0,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Built-up,0,0,56,0,0,2,0,0,126,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKU_M_R,Cropland,0,0,38,0,0,1,0,0,95,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Wetland,72,732,0,548,10,497,727,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Non_Wetland,0,4,8,6,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Forest,0,704,660,108,112,227,652,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Grassland,106,572,416,183,107,110,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Built-up,15,247,60,8,0,15,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Water,98,367,503,85,28,0,137,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Shrubland,0,18,9,11,2,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Bareland,5,0,42,23,17,51,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Cropland,20,110,30,0,24,4,45,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Grassland,0,0,0,0,0,196,0,0,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Wetland,0,0,0,0,0,786,0,0,0,437,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Shrubland,0,0,0,0,0,4,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Bareland,0,0,0,0,0,125,0,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Water,0,0,0,0,0,0,0,0,0,298,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Forest,0,0,0,0,0,277,0,0,0,97,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Built-up,0,0,0,0,0,47,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MKU_M_R,Cropland,0,0,0,0,0,5,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Grassland,324,186,217,4,107,46,0,394,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Wetland,296,236,0,0,11,112,262,264,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Forest,0,306,405,1,165,117,631,348,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Cropland,60,12,38,0,23,1,118,84,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Bareland,110,0,100,0,102,24,274,189,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Built-up,64,43,56,0,0,2,161,120,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Water,242,263,515,0,43,0,255,193,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MKU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Grassland,345,15,251,603,282,142,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Forest,0,15,234,370,388,306,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Wetland,356,11,0,656,146,294,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Bareland,117,0,47,106,226,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Built-up,19,4,0,47,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Water,133,49,288,143,74,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Cropland,2,0,1,0,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MKU_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Forest,0,81,24,174,0,112,132,0,0,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Wetland,1066,162,0,105,0,629,445,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Bareland,122,0,29,24,0,90,24,0,0,0,0,52
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Built-up,160,44,7,75,0,26,31,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Water,423,39,109,0,0,0,36,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Cropland,24,9,8,0,0,16,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MKU_M_R,Grassland,445,123,159,184,0,195,0,0,0,0,0,29
