Dataset,MajorityClass,Forest,Bareland,Cropland,Built-up,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Wetland,0,4,0,0,55,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Lichens_and_Mosses,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Water,29,51,0,1,0,191,216,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPS_M_R,Permanent_ice_and_snow,0,4,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Grassland,0,0,0,0,10,10,0,0,258,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Wetland,0,0,0,0,0,0,0,0,81,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Forest,0,0,0,0,45,115,0,0,701,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Shrubland,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Bareland,0,0,0,0,1,10,0,0,124,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Cropland,0,0,0,0,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Built-up,0,0,0,0,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Water,0,0,0,0,0,137,0,0,440,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Grassland,0,0,0,0,29,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Forest,0,0,0,0,201,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Bareland,0,0,0,0,50,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Wetland,0,0,0,0,22,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Water,0,0,0,0,0,0,0,0,0,153,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPS_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Forest,0,196,148,118,45,115,224,229,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Grassland,134,67,147,78,10,10,0,151,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Built-up,10,1,32,0,0,0,12,30,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Wetland,10,16,2,7,0,0,6,22,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Bareland,30,0,47,57,1,10,26,47,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Water,144,195,82,102,0,137,184,172,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Cropland,12,0,0,7,0,0,3,15,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPS_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Grassland,81,4,234,63,127,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Forest,0,8,103,56,365,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Bareland,22,0,34,11,69,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Built-up,0,1,16,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Water,68,38,36,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Wetland,41,7,4,3,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Cropland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPS_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Forest,0,56,36,0,31,8,25,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Water,370,200,8,0,0,16,4,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Wetland,94,20,4,0,14,0,3,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Grassland,191,92,82,0,95,11,0,0,0,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Bareland,14,0,1,0,5,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Built-up,34,12,15,0,0,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Cropland,5,3,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPS_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
