Dataset,MajorityClass,Forest,Built-up,Water,Grassland,Bareland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Cropland,Non_Water
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,Built-up,2,0,0,6,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,Water,82,7,0,33,54,99,0,20,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,Forest,0,14,52,56,81,108,0,34,2,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,Water,73,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,Grassland,6,14,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,Wetland,23,1,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,Forest,0,23,173,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,Bareland,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYU_M_R,Water,0,0,0,0,0,0,0,0,0,0,129
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYU_M_R,Forest,0,0,134,0,0,0,0,0,0,0,128
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYU_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYU_M_R,Wetland,0,0,7,0,0,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYU_M_R,Forest,0,0,5,4,3,0,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYU_M_R,Water,265,0,0,0,40,0,0,0,0,9,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYU_M_R,Grassland,5,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYU_M_R,Wetland,39,0,3,0,0,0,0,0,0,0,0
