Dataset,MajorityClass,Forest,Grassland,Cropland,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Forest,0,0,0,0,78,0,120,0,879,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Shrubland,0,0,0,0,0,0,0,0,45,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Water,0,0,0,0,0,0,291,0,318,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Cropland,0,0,0,0,3,0,1,0,221,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Built-up,0,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBP_M_R,Bareland,0,0,0,0,10,0,37,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Grassland,0,0,0,0,83,0,0,0,0,20
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Wetland,0,0,0,0,234,0,0,0,0,157
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Shrubland,0,0,0,0,2,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Water,0,0,0,0,0,0,0,0,0,226
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Cropland,0,0,0,0,7,0,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Forest,0,0,0,0,165,0,0,0,0,67
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBP_M_R,Bareland,0,0,0,0,34,0,0,0,0,18
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Grassland,178,0,211,31,17,14,30,313,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Wetland,93,8,7,0,31,8,0,78,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Bareland,23,2,54,4,10,0,37,54,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Forest,0,186,217,24,78,49,120,393,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Cropland,117,80,0,23,3,1,1,184,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Water,195,7,78,3,0,28,291,148,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Shrubland,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBP_M_R,Built-up,4,3,20,0,0,0,0,22,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Grassland,129,0,418,62,61,21,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Forest,0,0,294,67,171,4,67,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Wetland,109,0,24,2,135,32,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Shrubland,7,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Bareland,2,0,48,9,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Built-up,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Water,68,0,62,3,0,67,156,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBP_M_R,Cropland,40,0,0,35,1,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Forest,0,34,113,0,15,41,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Cropland,85,56,0,0,5,83,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Wetland,405,89,15,0,123,50,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Shrubland,24,4,2,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Water,369,21,3,0,0,121,26,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Built-up,14,3,5,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Grassland,215,0,122,0,53,120,10,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBP_M_R,Bareland,4,0,0,0,1,0,0,0,0,0
