Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Forest,0,0,108,129,1063,404,535,134,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Water,0,153,127,59,754,0,229,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Shrubland,0,3,2,1,25,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Bareland,0,11,34,0,14,62,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Built-up,0,42,0,126,80,32,89,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Wetland,0,6,0,5,0,251,38,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYR_M_R,Lichens_and_Mosses,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Wetland,0,0,0,0,0,58,0,0,1040,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Grassland,0,0,0,0,35,40,0,0,857,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Cropland,0,0,0,0,54,84,0,0,1264,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Forest,0,0,0,0,138,109,0,0,1854,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Water,0,0,0,0,308,0,0,0,1015,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Shrubland,0,0,0,0,0,0,0,0,50,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Bareland,0,0,0,0,0,12,0,0,41,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYR_M_R,Built-up,0,0,0,0,4,17,0,0,173,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Grassland,96,129,17,79,459,32,0,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Non_Wetland,0,1,0,1,11,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Forest,133,0,25,240,1025,197,617,93,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Water,36,222,69,242,961,0,236,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Shrubland,4,2,1,5,23,2,19,0,0,0,0,0
