Dataset,MajorityClass,Built-up,Forest,Water,Wetland,Bareland,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Shrubland,0,0,4,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Grassland,1,0,9,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Forest,29,0,306,7,132,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Wetland,0,3,27,0,20,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Built-up,0,0,9,0,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Water,12,58,0,0,98,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,Bareland,0,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Shrubland,0,2,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Bareland,2,2,7,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Built-up,0,22,1,0,2,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Wetland,0,17,28,0,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Water,2,187,0,1,3,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Forest,1,0,133,1,3,153,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,Bareland,0,2,9,9,0,2,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,Built-up,0,6,5,0,0,1,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,Forest,46,0,65,141,75,71,0,134,33,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,Water,29,84,0,205,62,41,0,41,15,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,Grassland,0,2,0,1,0,0,0,4,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Wetland,0,0,19,0,0,0,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Built-up,0,0,8,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Forest,0,0,199,0,0,0,0,0,0,0,149,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Water,0,0,0,0,0,0,0,0,0,0,171,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,Water,10,150,0,0,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,Grassland,4,6,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,Bareland,2,5,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,Wetland,0,23,17,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,Forest,19,0,158,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,Wetland,0,47,5,0,1,5,0,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,Water,0,367,0,1,83,26,0,0,16,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,Forest,0,0,6,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,Grassland,0,8,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,Built-up,0,15,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,0,0
