Dataset,MajorityClass,Shrubland,Bareland,Built-up,Forest,Water,Wetland,Grassland,Cropland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Wetland,19,12,12,12,1,0,10,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Bareland,21,0,15,10,3,4,4,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Built-up,25,0,0,19,0,1,1,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Water,17,21,21,25,0,22,24,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Cropland,10,1,1,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Forest,75,43,42,0,10,31,34,12,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Grassland,0,0,18,15,5,0,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Bareland,0,0,13,4,9,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Wetland,0,10,18,25,41,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Forest,0,0,45,0,64,1,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Water,0,13,2,12,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Shrubland,0,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Wetland,0,12,0,66,15,0,10,3,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Bareland,0,0,0,11,5,1,4,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Built-up,0,2,0,21,0,0,7,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Shrubland,0,0,0,5,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Forest,0,3,0,0,3,0,6,9,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Grassland,0,1,0,16,4,0,0,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,Water,0,17,0,61,0,13,0,4,0,0,0
