Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Grassland,Built-up,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Built-up,0,0,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,Bareland,0,21,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Non_Wetland,0,4,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Forest,42,125,39,0,98,226,0,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Grassland,5,14,14,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Water,0,118,11,41,0,100,0,0,9,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Shrubland,0,7,1,0,3,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Cropland,0,6,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Wetland,0,0,4,5,26,71,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Built-up,0,9,0,0,3,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,Bareland,0,9,0,0,4,19,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,Grassland,0,0,0,0,11,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,Wetland,0,0,0,0,84,0,0,0,0,33,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,Water,0,0,0,0,0,0,0,0,0,102,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,Forest,0,0,0,0,93,0,0,0,0,62,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,Bareland,0,0,0,0,23,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Grassland,40,2,2,22,1,0,11,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Forest,111,98,52,0,49,78,20,0,14,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Wetland,10,0,0,1,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Water,58,211,23,53,0,10,31,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Bareland,12,21,0,0,0,1,14,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Built-up,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,Cropland,4,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,Water,0,5,29,24,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,Grassland,0,0,4,27,3,0,26,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,Wetland,0,0,28,33,62,0,6,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,Forest,0,5,1,0,154,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,Bareland,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,Wetland,0,0,40,90,11,2,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,Forest,0,3,0,0,3,1,0,0,12,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,Grassland,0,3,4,55,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,Shrubland,0,0,0,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,Water,0,23,66,205,0,0,0,0,9,0,0
