Dataset,MajorityClass,Grassland,Wetland,Shrubland,Cropland,Water,Bareland,Forest,Non_Wetland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Forest,151,330,53,0,112,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Built-up,8,19,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Water,43,338,5,0,0,0,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,Bareland,1,12,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,Wetland,0,0,0,0,184,0,0,0,0,89,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,Grassland,0,0,0,0,11,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,Water,0,0,0,0,0,0,0,0,0,138,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,Forest,0,0,0,0,126,0,0,0,0,60,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,Bareland,0,0,0,0,4,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,Grassland,0,1,0,1,3,3,34,0,22,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,Wetland,0,0,0,16,71,19,86,0,45,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,Water,0,82,0,1,0,37,85,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,Forest,0,24,0,4,116,0,0,0,51,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,Shrubland,0,0,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,Forest,14,16,0,26,47,11,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,Wetland,23,0,0,2,92,25,272,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,Water,2,53,0,0,0,79,267,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,Shrubland,0,7,0,4,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,Grassland,0,14,0,18,7,7,45,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,1
