Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Shrubland,0,133,0,98,63,60,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Wetland,0,17,0,26,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Bareland,0,115,0,48,97,72,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Built-up,0,16,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Water,0,45,7,136,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,Cropland,0,0,3,152,91,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Forest,114,141,41,0,0,56,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Shrubland,66,72,35,197,0,36,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Cropland,114,0,113,185,0,15,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Wetland,14,3,2,67,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Bareland,6,21,0,75,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Water,13,9,63,584,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Built-up,2,38,12,68,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,Grassland,0,71,71,128,0,19,3,0,0,0,0
