Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Shrubland,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Bareland,1,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Grassland,0,0,14,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Water,0,0,0,0,0,0,0,0,125,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Wetland,0,0,82,0,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Bareland,0,0,7,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,Forest,0,0,118,0,0,0,0,0,76,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Grassland,10,0,0,22,12,10,57,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Forest,128,104,44,0,117,27,179,0,0,10,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Wetland,0,1,11,6,17,1,25,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Bareland,1,2,0,0,0,29,21,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Water,167,27,0,77,83,12,76,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Built-up,0,2,0,0,1,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,Forest,26,0,256,0,1,40,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,Wetland,0,0,102,42,4,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,Water,38,0,0,29,11,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,Grassland,0,0,13,25,0,33,0,0,0,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,Bareland,0,0,15,3,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Forest,1,16,7,0,0,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Wetland,0,4,54,186,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Bareland,0,1,8,19,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Built-up,0,1,0,11,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Grassland,0,0,1,66,0,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Water,22,0,0,308,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
