Dataset,MajorityClass,Wetland,Water,Bareland,Built-up,Forest,Shrubland,Grassland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Shrubland,0,0,0,0,0,0,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Cropland,37,5,0,0,0,0,0,0,482,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Built-up,10,0,0,0,0,0,0,0,141,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Forest,394,97,0,0,0,0,0,0,1554,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Wetland,0,750,464,12,80,8,767,511,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Non_Wetland,4,1,3,0,0,0,2,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Forest,883,149,234,63,0,10,558,341,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Grassland,463,61,160,22,9,0,0,290,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Bareland,37,10,0,3,0,0,19,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Water,969,0,240,5,136,2,338,150,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Shrubland,51,5,22,6,1,0,27,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Built-up,70,2,60,0,2,0,27,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Cropland,141,36,104,5,1,0,111,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,Permanent_ice_and_snow,8,1,2,0,0,0,3,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Water,0,0,0,0,0,0,0,0,0,544,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Wetland,0,1356,0,0,0,0,0,0,0,709,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Bareland,0,23,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Grassland,0,198,0,0,0,0,0,0,0,126,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Shrubland,0,14,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Cropland,0,54,0,0,0,0,0,0,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Forest,0,355,0,0,0,0,0,0,0,260,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,Built-up,0,9,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Grassland,141,35,5,79,326,703,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Wetland,0,153,13,31,552,920,290,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Forest,510,177,59,78,0,738,189,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Cropland,37,5,1,50,173,446,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Bareland,10,5,0,10,22,192,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Built-up,10,0,0,0,25,120,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Water,816,0,46,33,386,660,160,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,Permanent_ice_and_snow,0,0,0,0,4,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Grassland,100,67,6,70,251,0,0,375,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Wetland,0,499,25,123,697,0,0,922,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Water,278,0,83,35,235,0,0,423,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Bareland,6,16,0,19,8,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Forest,91,233,4,123,0,0,0,277,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Built-up,0,1,0,0,6,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Shrubland,0,0,0,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Cropland,3,4,4,6,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Cropland,10,19,53,0,43,0,77,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Wetland,0,548,134,0,1028,0,730,600,0,0,0,58
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Forest,12,190,70,0,0,0,166,143,0,0,0,89
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Water,399,0,70,0,576,0,266,209,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Shrubland,0,5,0,0,11,0,9,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Built-up,1,3,2,0,42,0,19,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Bareland,19,21,0,0,16,0,9,9,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,Grassland,34,89,41,0,180,0,0,114,0,0,0,28
