Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Wetland,119,0,26,11,120,32,0,0,246,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYR_M_R,Permanent_ice_and_snow,7,0,1,0,5,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Grassland,0,18,194,49,116,134,6,0,415,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Bareland,141,39,0,36,52,1,0,0,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Forest,429,27,325,63,195,0,18,0,915,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Built-up,263,35,305,0,35,18,0,0,219,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Non_Wetland,0,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Non_Water,0,0,0,0,6,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Water,255,50,360,86,0,205,0,0,523,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Shrubland,85,4,58,20,47,20,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Cropland,630,0,422,189,180,76,0,0,560,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Wetland,89,13,44,1,134,40,0,0,173,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Lichens_and_Mosses,3,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYR_M_R,Permanent_ice_and_snow,3,1,12,0,3,1,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Bareland,0,0,0,0,65,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Water,0,0,0,0,0,0,0,0,0,658,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Grassland,0,0,0,0,209,0,0,0,0,97,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Shrubland,0,0,0,0,79,0,0,0,0,46,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Cropland,0,0,0,0,204,0,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Forest,0,0,0,0,283,0,0,0,0,157,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Wetland,0,0,0,0,239,0,0,0,0,106,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Built-up,0,0,0,0,34,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYR_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Grassland,0,632,109,141,12,428,101,0,405,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Bareland,5,375,0,184,1,169,7,0,201,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Built-up,75,324,55,0,1,163,33,0,224,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Water,125,913,146,90,0,568,489,0,516,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Forest,249,647,68,147,35,0,236,0,373,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Cropland,85,0,65,178,1,310,40,0,343,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Shrubland,25,69,14,20,0,73,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Wetland,7,110,7,4,1,85,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYR_M_R,Permanent_ice_and_snow,0,31,3,8,0,15,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Grassland,0,565,6,443,145,344,36,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Forest,0,288,1,394,238,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Shrubland,0,151,1,135,61,135,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Bareland,0,172,0,263,49,91,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Built-up,0,76,10,0,5,15,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Water,0,281,23,129,0,92,52,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Wetland,0,90,0,63,133,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Cropland,0,0,13,301,42,147,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYR_M_R,Permanent_ice_and_snow,0,9,2,7,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Forest,141,137,76,0,87,0,63,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Shrubland,67,123,75,0,99,194,54,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Cropland,119,0,200,0,125,218,104,0,0,0,0,51
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Built-up,83,217,184,0,76,203,15,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Water,58,51,99,0,0,233,121,0,0,0,0,31
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Wetland,45,33,17,0,92,172,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Bareland,7,56,0,0,33,26,2,0,0,0,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYR_M_R,Grassland,0,211,154,0,139,272,90,0,0,0,0,27
