Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Cropland,48,402,0,139,70,34,261,123,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Built-up,0,81,29,9,0,9,62,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,Bareland,0,50,24,17,1,6,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Wetland,0,0,0,0,0,68,0,0,464,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Grassland,0,0,0,41,0,47,0,0,438,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Forest,0,0,0,146,0,118,0,0,1072,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Water,0,0,0,246,0,0,0,0,493,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Shrubland,0,0,0,0,0,0,0,0,99,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Bareland,0,0,0,1,0,15,0,0,25,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Cropland,0,0,0,13,0,14,0,0,303,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,Built-up,0,0,0,2,0,14,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Grassland,0,0,0,0,0,103,0,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Water,0,0,0,0,0,0,0,0,0,274,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Wetland,0,0,0,0,0,271,0,0,0,147,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Shrubland,0,0,0,0,0,15,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Cropland,0,0,0,0,0,35,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Forest,0,0,0,0,0,208,0,0,0,85,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,Built-up,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Grassland,208,0,321,41,43,47,27,463,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Wetland,156,1,15,0,0,68,5,146,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Forest,0,223,337,146,43,118,66,577,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Cropland,162,100,0,13,59,14,15,284,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Bareland,19,6,94,1,18,15,0,77,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Water,269,26,144,246,13,0,67,321,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Shrubland,9,4,9,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,Built-up,4,2,96,2,0,14,1,69,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Grassland,252,0,602,24,99,111,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Shrubland,28,0,62,4,4,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Forest,0,0,441,97,104,240,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Wetland,158,0,95,0,2,161,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Bareland,15,0,85,0,76,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Water,168,0,228,194,26,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Built-up,1,0,15,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,Cropland,98,0,0,1,95,7,14,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Shrubland,68,11,22,16,0,12,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Forest,0,46,120,7,0,57,49,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Cropland,160,88,0,4,0,18,120,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Wetland,483,40,11,0,0,161,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Water,450,16,17,95,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Built-up,39,1,34,0,0,1,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Grassland,258,0,142,21,0,88,124,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,Bareland,5,0,8,0,0,0,0,0,0,0,4
