Dataset,MajorityClass,Wetland,Water,Bareland,Grassland,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Grassland,10,3,0,0,0,0,118,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Wetland,0,41,0,0,0,0,359,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Water,177,0,0,0,0,0,438,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Bareland,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Built-up,2,0,0,0,0,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMB_M_R,Forest,85,43,0,0,0,0,585,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Non_Wetland,1,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Water,349,0,0,22,15,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Shrubland,1,1,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Grassland,54,50,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Wetland,0,305,3,71,10,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Bareland,1,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Built-up,18,7,23,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMB_M_R,Forest,300,162,18,115,0,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,Wetland,0,352,0,0,0,0,0,161,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,Grassland,0,36,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,Water,0,0,0,0,0,0,0,164,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,Built-up,0,17,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,Bareland,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMB_M_R,Forest,0,160,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,Grassland,10,3,15,0,27,6,0,0,25,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,Wetland,0,41,94,54,69,29,0,0,37,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,Water,177,0,164,112,125,27,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,Forest,85,43,99,73,0,35,0,0,93,10,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,Bareland,0,0,0,0,0,1,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMB_M_R,Built-up,2,0,10,2,6,0,0,0,35,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,Grassland,24,4,0,0,18,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,Bareland,3,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,Water,257,0,8,0,132,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,Wetland,0,101,0,0,163,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMB_M_R,Forest,116,97,0,0,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,Wetland,0,145,1,141,464,0,0,0,0,2,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,Water,46,0,8,54,428,0,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,Forest,1,7,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,Grassland,0,1,0,0,33,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,Built-up,0,0,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMB_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0,0
