Dataset,MajorityClass,Cropland,Bareland,Water,Forest,Wetland,Built-up,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Built-up,84,354,93,84,166,0,108,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Wetland,22,24,447,135,0,6,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Cropland,0,364,185,221,304,317,349,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Water,70,451,0,317,665,335,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Bareland,18,0,26,28,8,86,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Grassland,621,140,38,247,74,163,0,465,0,32,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Wetland,276,69,18,187,0,16,1,203,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Bareland,463,0,42,62,26,398,0,223,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Built-up,476,96,42,176,53,0,13,347,0,44,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Forest,1062,410,163,0,285,333,129,877,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Cropland,0,116,30,267,77,303,17,548,0,34,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Water,1049,637,0,546,556,393,77,661,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,Permanent_ice_and_snow,12,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Grassland,0,0,106,0,0,0,0,0,0,0,112,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Cropland,0,0,191,0,0,0,0,0,0,0,201,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Water,0,0,0,0,0,0,0,0,0,0,1270,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Bareland,0,0,144,0,0,0,0,0,0,0,86,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Wetland,0,0,245,0,0,0,0,0,0,0,420,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Built-up,0,0,165,0,0,0,0,0,0,0,119,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Forest,0,0,515,0,0,0,0,0,0,0,504,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Grassland,749,1,131,174,77,276,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Bareland,348,0,79,55,2,306,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Built-up,237,28,86,69,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Forest,1023,10,659,0,207,873,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Shrubland,20,0,0,2,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Wetland,457,0,238,119,0,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Water,1130,38,0,304,321,812,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Cropland,0,16,86,121,53,336,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,Permanent_ice_and_snow,0,0,3,5,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Wetland,79,2,221,480,0,0,304,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Bareland,40,0,63,108,4,0,32,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Built-up,282,185,289,414,9,0,220,0,0,0,0,40
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Water,118,88,0,953,244,0,219,0,0,0,0,104
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Forest,167,100,221,0,60,0,237,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Cropland,0,141,188,420,77,0,355,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Shrubland,2,0,0,22,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,Grassland,68,25,56,168,22,0,0,0,0,0,0,0
