Dataset,MajorityClass,Forest,Cropland,Wetland,Built-up,Bareland,Water,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Bareland,4,99,0,59,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Shrubland,8,29,11,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Built-up,3,16,3,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Water,62,122,195,2,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,Cropland,35,0,0,39,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Shrubland,46,15,11,0,8,2,21,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Wetland,671,37,0,0,37,267,289,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Cropland,143,0,4,0,175,18,119,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Forest,0,44,37,0,21,50,94,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Water,392,2,50,0,32,0,31,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Bareland,10,11,2,0,0,1,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Grassland,345,133,53,0,149,85,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,Built-up,11,16,0,0,9,0,0,0,0,0,0,0
