Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Wetland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Built-up,0,0,0,0,11,0,5,0,24,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMP_M_R,Water,0,0,0,0,126,0,0,0,282,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Grassland,0,105,65,77,63,269,1,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Non_Wetland,3,1,0,0,9,2,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Forest,591,0,178,38,323,545,13,400,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Bareland,60,2,24,29,1,0,0,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Built-up,94,27,0,15,13,210,0,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Shrubland,68,24,16,14,23,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Cropland,297,63,83,0,10,387,0,136,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Wetland,57,18,0,0,0,33,3,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMP_M_R,Water,125,64,8,1,304,127,0,29,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Grassland,0,299,66,167,47,38,18,357,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Bareland,55,113,65,110,2,0,1,187,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Forest,382,0,175,239,121,73,67,612,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Wetland,19,64,2,7,0,19,1,35,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Built-up,79,81,0,75,11,8,5,174,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Shrubland,9,24,10,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Cropland,164,285,57,0,1,1,0,374,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMP_M_R,Water,66,197,8,29,126,55,0,149,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Shrubland,0,0,0,0,0,0,9,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Grassland,0,0,0,0,0,0,47,0,0,0,11
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Wetland,0,0,0,0,0,0,28,0,0,0,30
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Forest,0,0,0,0,0,0,73,0,0,0,39
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Water,0,0,0,0,0,0,0,0,0,0,95
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMP_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Grassland,0,126,142,648,13,0,67,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Forest,0,0,393,674,56,1,200,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Shrubland,0,68,49,109,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Bareland,0,16,69,256,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Built-up,0,5,0,38,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Water,0,4,18,71,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Wetland,0,6,16,36,0,0,90,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMP_M_R,Cropland,0,27,63,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Wetland,50,84,0,0,0,0,131,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Forest,172,0,0,208,24,96,120,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Shrubland,52,93,0,76,8,47,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Cropland,104,74,0,0,1,130,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Water,17,61,0,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Bareland,9,33,0,38,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Built-up,7,133,0,82,0,10,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMP_M_R,Grassland,0,213,0,152,26,79,105,0,0,0,0
