Dataset,MajorityClass,Cropland,Forest,Bareland,Built-up,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Forest,0,0,0,0,121,339,0,0,1579,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Water,0,0,0,0,0,498,0,0,771,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Shrubland,0,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Cropland,0,0,0,0,33,46,0,0,718,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Bareland,0,0,0,0,8,143,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZQ_M_R,Built-up,0,0,0,0,3,9,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Grassland,0,0,0,0,246,0,0,0,0,68,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Wetland,0,0,0,0,638,0,0,0,0,396,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Shrubland,0,0,0,0,6,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Cropland,0,0,0,0,212,0,0,0,0,66,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Bareland,0,0,0,0,133,0,0,0,0,86,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Water,0,0,0,0,0,0,0,0,0,647,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Built-up,0,0,0,0,25,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZQ_M_R,Forest,0,0,0,0,399,0,0,0,0,241,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Grassland,488,378,39,130,28,92,0,424,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Forest,644,0,128,162,121,339,214,404,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Cropland,0,311,35,195,33,46,102,316,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Wetland,197,414,66,12,74,0,37,215,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Bareland,156,17,0,120,8,143,0,25,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Water,473,439,140,128,0,498,47,136,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZQ_M_R,Built-up,173,34,2,0,3,9,16,54,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Grassland,708,219,0,154,56,175,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Wetland,470,190,4,41,223,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Forest,631,0,1,240,377,230,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Built-up,82,7,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Water,503,173,60,89,0,287,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Bareland,74,10,0,42,23,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZQ_M_R,Cropland,0,87,1,153,19,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Wetland,135,698,61,0,333,0,453,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Water,50,604,101,0,0,150,161,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Forest,155,0,10,0,146,20,240,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Cropland,0,259,59,0,79,36,223,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Bareland,17,30,0,0,12,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Built-up,101,75,16,0,17,0,58,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Grassland,162,224,16,0,40,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZQ_M_R,Shrubland,0,3,0,0,0,0,0,0,0,0,0,0
