Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Water,0,0,0,0,0,0,336,0,868,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Cropland,0,0,0,0,54,0,9,0,299,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Bareland,0,0,0,0,44,0,9,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKD_M_R,Built-up,0,0,0,0,20,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Grassland,0,0,0,0,305,0,0,0,0,86,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Water,0,0,0,0,0,0,0,0,0,655,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Shrubland,0,0,0,0,192,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Wetland,0,0,0,0,446,0,0,0,0,162,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Bareland,0,0,0,0,60,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Forest,0,0,0,0,502,0,0,0,0,221,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Cropland,0,0,0,0,179,0,0,0,0,40,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKD_M_R,Built-up,0,0,0,0,13,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Grassland,0,595,36,95,70,455,48,631,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Bareland,4,287,0,129,44,93,9,306,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Forest,168,804,70,102,189,0,117,821,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Wetland,7,211,15,1,100,436,0,280,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Water,6,570,80,24,0,701,336,796,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Cropland,82,0,23,158,54,352,9,600,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Built-up,6,222,10,0,20,57,0,195,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Shrubland,11,78,7,16,0,81,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKD_M_R,Permanent_ice_and_snow,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Grassland,0,684,4,160,69,177,50,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Forest,0,637,0,291,394,0,353,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Shrubland,0,322,0,143,107,108,69,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Bareland,0,304,0,195,43,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Wetland,0,106,0,10,101,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Built-up,0,80,6,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Water,0,400,19,108,0,121,393,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKD_M_R,Cropland,0,0,4,181,20,147,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Forest,237,175,135,0,128,0,135,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Shrubland,178,123,106,0,140,333,116,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Wetland,110,4,11,0,133,231,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Cropland,232,0,312,0,96,266,42,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Bareland,13,43,0,0,24,40,1,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Water,215,32,110,0,0,656,429,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Built-up,13,92,109,0,1,119,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKD_M_R,Grassland,0,125,143,0,87,239,71,0,0,0,0
