Dataset,MajorityClass,Water,Wetland,Grassland,Bareland,Forest,Built-up,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Forest,52,120,180,34,0,46,98,58,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Water,0,198,85,5,134,4,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Built-up,0,0,12,4,7,0,24,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Bareland,0,0,1,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDA_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Grassland,1,3,0,0,0,0,0,0,0,148,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Shrubland,0,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Wetland,2,0,0,0,0,0,0,0,0,59,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Forest,52,120,0,0,0,0,0,0,0,450,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Cropland,0,0,0,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Water,0,198,0,0,0,0,0,0,0,136,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Bareland,0,0,0,0,0,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Built-up,0,0,0,0,0,0,0,0,0,65,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Grassland,11,72,0,0,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Shrubland,0,2,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Forest,112,288,96,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Cropland,0,1,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Wetland,42,0,8,0,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Bareland,7,16,2,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Built-up,7,37,20,0,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Water,0,200,25,0,65,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDA_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDA_M_R,Wetland,48,0,0,0,0,0,0,0,0,0,52,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDA_M_R,Grassland,5,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDA_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDA_M_R,Forest,100,0,0,0,0,0,0,0,0,0,73,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDA_M_R,Water,0,0,0,0,0,0,0,0,0,0,129,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,Grassland,17,8,0,0,22,112,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,Water,0,47,0,6,31,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,Forest,215,54,0,0,0,156,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,Bareland,0,0,0,0,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,Wetland,70,0,0,0,29,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDA_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,Forest,13,1,17,0,0,0,0,9,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,Wetland,38,0,9,1,166,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,Water,0,17,3,6,254,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,Built-up,0,0,1,3,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,Grassland,3,1,0,16,61,0,0,13,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDA_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0,5
