Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Wetland,68,0,64,15,16,0,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Forest,743,166,663,0,108,885,62,651,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Water,458,23,638,188,0,531,41,175,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Shrubland,78,8,74,23,1,55,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Built-up,170,18,273,37,0,74,0,71,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Cropland,537,0,500,233,10,288,178,274,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGD_M_R,Bareland,18,6,0,5,1,1,13,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Grassland,0,0,0,0,23,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Shrubland,0,0,0,0,2,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Water,0,0,0,0,0,0,0,0,0,657,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Wetland,0,0,0,0,48,0,0,0,0,134,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Cropland,0,0,0,0,56,0,0,0,0,57,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Bareland,0,0,0,0,9,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Built-up,0,0,0,0,14,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGD_M_R,Forest,0,0,0,0,155,0,0,0,0,283,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Grassland,0,381,7,237,15,30,93,518,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Wetland,0,27,3,51,7,0,3,136,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Bareland,6,104,0,18,38,3,94,152,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Built-up,1,228,0,80,26,0,0,263,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Water,0,425,81,343,0,259,40,653,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Forest,23,802,31,0,171,184,207,1174,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Cropland,6,0,15,340,35,26,238,727,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGD_M_R,Shrubland,0,15,0,14,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Grassland,0,583,1,153,41,6,125,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Wetland,0,214,0,55,83,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Bareland,0,199,0,5,19,1,114,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Forest,0,1115,0,0,538,31,455,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Shrubland,0,158,0,49,20,0,76,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Water,0,667,0,140,0,38,54,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Built-up,0,137,4,8,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGD_M_R,Cropland,0,0,0,147,17,0,206,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Forest,148,176,57,0,116,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Shrubland,41,54,14,181,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Cropland,228,0,132,327,91,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Wetland,47,19,0,260,91,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Bareland,6,21,0,44,18,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Built-up,46,161,90,193,42,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Water,17,27,11,593,0,39,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGD_M_R,Grassland,0,82,38,136,66,1,0,0,0,0,0
