Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,Forest,0,49,2,259,0,24,0,62,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,Grassland,68,51,0,47,0,9,0,115,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,Bareland,3,9,0,6,0,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,Wetland,34,5,1,68,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,Water,37,0,7,0,0,13,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,Forest,0,0,2,32,37,3,0,49,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,Wetland,136,0,3,59,9,0,0,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,Water,285,0,11,0,7,11,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,Grassland,150,0,12,43,0,15,0,63,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,Bareland,24,0,0,5,0,0,0,3,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,Built-up,3,0,0,0,0,0,0,5,0,0,0,0
