Dataset,MajorityClass,Forest,Wetland,Built-up,Water,Grassland,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Bareland,1,11,13,23,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDR_M_R,Built-up,3,52,0,21,21,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Water,0,0,0,0,0,0,0,625,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Wetland,0,0,0,440,0,0,0,294,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Grassland,0,0,0,99,0,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Shrubland,0,0,0,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Bareland,0,0,0,27,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Built-up,0,0,0,38,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Forest,0,0,0,354,0,0,0,270,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDR_M_R,Cropland,0,0,0,3,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Grassland,86,23,81,15,0,86,0,0,75,16,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Forest,0,241,269,109,305,383,0,0,265,87,58,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Wetland,99,0,68,37,75,179,0,0,83,15,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Water,240,390,187,0,164,397,0,0,215,5,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Bareland,14,9,13,0,11,0,0,0,16,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Built-up,43,16,0,26,54,31,0,0,75,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDR_M_R,Cropland,8,0,6,0,2,7,0,0,8,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Grassland,147,76,80,34,0,5,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Water,296,288,91,0,0,74,0,0,0,17,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Wetland,252,0,71,176,0,5,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Forest,0,183,290,325,0,25,0,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Bareland,18,5,44,30,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Built-up,9,3,0,9,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDR_M_R,Cropland,4,4,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,Wetland,570,0,0,136,240,23,0,0,0,158,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,Forest,0,1,0,34,67,9,0,0,0,41,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,Water,887,66,0,0,293,147,0,0,0,191,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,Bareland,50,0,0,1,6,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,Built-up,111,0,0,0,3,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDR_M_R,Grassland,156,1,0,2,0,0,0,0,0,29,0,0
