Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Bareland,48,0,0,95,45,11,163,47,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Built-up,125,0,203,0,138,118,89,187,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Forest,548,0,289,226,0,778,556,586,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Non_Water,1,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Water,283,0,153,82,343,386,0,102,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGE_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Grassland,0,106,156,50,100,148,55,98,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Non_Wetland,6,0,1,0,2,14,1,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Wetland,102,64,50,2,58,0,123,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Forest,710,299,841,154,0,848,217,649,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Built-up,240,55,428,0,84,129,5,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Water,277,105,897,96,325,499,0,265,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Non_Water,1,1,0,0,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Shrubland,75,26,87,22,24,45,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Cropland,590,0,639,269,242,278,75,279,0,0,0
