Dataset,MajorityClass,Forest,Water,Built-up,Bareland,Grassland,Cropland,Non_Wetland,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Grassland,0,151,0,0,0,0,0,0,223,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Water,0,0,0,0,0,0,0,0,814,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Forest,0,375,0,0,0,0,0,0,490,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Bareland,0,165,0,0,0,0,0,0,256,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Wetland,0,7,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Built-up,0,4,0,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBL_M_R,Cropland,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Grassland,284,81,96,59,0,115,0,17,0,124,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Forest,0,175,123,183,314,103,0,102,0,226,108,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Bareland,134,65,74,0,165,10,0,8,0,67,72,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Water,512,0,120,187,335,54,0,138,0,210,84,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Built-up,43,3,0,3,58,22,0,0,0,12,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Cropland,10,0,3,0,6,0,0,1,0,3,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Wetland,10,1,5,0,2,2,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBL_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Grassland,167,208,101,30,0,212,0,30,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Forest,0,439,129,45,0,100,0,30,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Built-up,0,3,0,1,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Bareland,102,120,22,0,0,21,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Water,296,0,63,213,0,107,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Wetland,13,10,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBL_M_R,Cropland,1,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Bareland,61,4,0,0,9,18,0,4,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Water,701,0,0,572,112,66,0,24,0,0,0,28
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Forest,0,106,0,75,49,62,0,14,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Wetland,20,9,0,4,2,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Built-up,38,14,0,14,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Grassland,281,112,0,81,0,92,0,45,0,0,0,43
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBL_M_R,Cropland,3,1,0,0,0,0,0,1,0,0,0,1
