Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Shrubland,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Bareland,213,0,438,237,0,0,414,120,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Shrubland,10,0,4,17,0,1,55,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Built-up,7,0,18,78,0,63,0,33,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Water,329,0,0,268,0,165,356,100,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Cropland,5,0,5,17,0,1,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNT_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Wetland,0,706,1302,1664,0,572,0,463,0,0,0,118
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Forest,83,140,632,0,0,107,0,167,0,0,0,129
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Bareland,168,27,366,301,0,0,0,103,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Built-up,9,45,241,403,0,124,0,191,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Water,303,95,0,468,0,200,0,19,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Shrubland,11,8,26,92,0,8,0,16,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Cropland,6,7,15,35,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNT_M_R,Grassland,130,0,355,511,0,99,0,176,0,0,0,74
