Dataset,MajorityClass,Cropland,Built-up,Water,Forest,Wetland,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Forest,130,172,264,0,317,160,113,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Non_Wetland,0,1,0,2,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Bareland,29,64,36,35,20,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Non_Water,0,1,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Water,93,232,0,190,309,265,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Shrubland,11,17,14,13,22,20,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Wetland,35,33,148,36,0,26,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Cropland,0,118,57,80,86,122,107,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Lichens_and_Mosses,1,4,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKQ_M_R,Permanent_ice_and_snow,0,2,1,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Grassland,0,0,24,0,36,0,0,0,219,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Wetland,0,0,6,0,0,0,0,0,327,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Built-up,0,0,3,0,4,0,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Forest,0,0,57,0,90,0,0,0,626,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Water,0,0,0,0,210,0,0,0,440,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Shrubland,0,0,0,0,0,0,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Cropland,0,0,6,0,11,0,0,0,215,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKQ_M_R,Bareland,0,0,23,0,23,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Water,0,0,0,0,0,0,0,0,0,627,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Forest,0,0,258,0,0,0,0,0,0,192,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Grassland,0,0,84,0,0,0,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Built-up,0,0,65,0,0,0,0,0,0,49,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Shrubland,0,0,5,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Cropland,0,0,71,0,0,0,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Bareland,0,0,97,0,0,0,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Wetland,0,0,110,0,0,0,0,0,0,149,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Grassland,277,96,24,128,36,79,0,232,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Wetland,81,12,6,55,0,34,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Bareland,211,180,23,61,23,0,1,139,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Built-up,88,0,3,33,4,29,3,75,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Water,471,208,0,248,210,309,68,330,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Forest,355,164,57,0,90,175,72,320,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Cropland,0,93,6,80,11,44,5,148,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKQ_M_R,Permanent_ice_and_snow,19,4,0,2,0,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Built-up,99,0,108,119,7,54,66,0,0,0,0,33
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Water,139,0,0,370,83,59,107,0,0,0,0,71
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Forest,94,0,127,0,33,44,90,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Cropland,0,0,50,79,19,39,69,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Wetland,72,0,109,176,0,2,78,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Bareland,37,0,48,79,2,0,21,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Shrubland,1,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKQ_M_R,Grassland,59,0,41,100,10,24,0,0,0,0,0,0
