Dataset,MajorityClass,Shrubland,Grassland,Wetland,Bareland,Water,Forest,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R,Permanent_ice_and_snow,0,10,0,0,0,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Grassland,0,0,40,0,10,0,0,0,253,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Wetland,0,0,0,0,33,0,0,0,277,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Forest,0,0,202,0,107,0,0,0,666,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Shrubland,0,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Cropland,0,0,3,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Water,0,0,291,0,0,0,0,0,170,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Bareland,0,0,23,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,Built-up,0,0,2,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Grassland,0,0,0,0,42,0,0,0,0,27,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Cropland,0,0,0,0,8,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Wetland,0,0,0,0,311,0,0,0,0,227,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Bareland,0,0,0,0,40,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Built-up,0,0,0,0,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Water,0,0,0,0,0,0,0,0,0,306,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,Forest,0,0,0,0,252,0,0,0,0,140,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Grassland,37,0,40,51,10,101,59,6,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Wetland,25,39,0,50,33,85,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Water,55,61,291,95,0,137,18,17,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Forest,98,131,202,167,107,0,98,37,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Bareland,6,16,23,0,0,11,9,11,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Cropland,10,23,3,5,0,18,0,11,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Built-up,7,16,2,5,0,8,9,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,Permanent_ice_and_snow,2,4,0,0,0,5,3,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Grassland,0,0,41,1,25,63,29,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Wetland,0,0,0,8,150,171,13,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Built-up,0,0,0,2,1,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Water,0,0,115,21,0,150,7,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Forest,0,0,123,1,208,0,26,54,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Cropland,0,0,3,1,1,6,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Bareland,0,0,0,0,9,11,5,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Wetland,0,237,0,20,133,468,17,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Forest,0,58,4,10,32,0,23,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Water,0,130,39,30,0,356,6,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Cropland,0,6,0,5,1,11,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Bareland,0,2,0,0,2,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Built-up,0,3,0,4,2,16,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,Grassland,0,0,4,7,11,96,12,0,0,0,0,3
