Dataset,MajorityClass,Forest,Bareland,Grassland,Wetland,Water,Built-up,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,Bareland,0,0,0,0,7,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGN_M_R,Forest,0,0,0,0,83,0,0,0,0,71,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,Grassland,8,0,0,0,5,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,Bareland,0,0,0,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,Forest,0,1,0,0,121,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,Water,34,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGN_M_R,Wetland,28,0,0,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,Forest,0,1,2,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,Wetland,56,1,0,0,2,0,0,0,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,Water,200,31,0,0,0,0,0,0,9,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,Grassland,27,2,0,0,2,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGN_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
