Dataset,MajorityClass,Cropland,Forest,Built-up,Water,Wetland,Bareland,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Cropland,0,203,253,233,281,267,348,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Built-up,0,46,0,91,23,144,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Wetland,0,93,0,250,0,10,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Bareland,0,1,33,92,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Grassland,92,120,29,42,138,14,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Forest,202,0,95,256,597,72,103,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Non_Wetland,0,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Shrubland,10,3,2,0,11,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Cropland,0,171,181,94,212,209,199,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Built-up,89,55,0,11,63,189,52,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Wetland,41,217,0,281,0,16,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Bareland,47,15,31,4,5,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFB_M_R,Water,209,447,127,0,577,171,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Wetland,0,0,0,22,0,0,0,0,786,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Grassland,0,0,0,17,62,0,0,0,269,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Shrubland,0,0,0,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Bareland,0,0,0,3,7,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Forest,0,0,0,104,283,0,0,0,1350,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Cropland,0,0,0,31,68,0,0,0,562,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Built-up,0,0,0,14,18,0,0,0,89,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFB_M_R,Water,0,0,0,0,444,0,0,0,906,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Grassland,352,139,85,17,62,56,0,243,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Wetland,140,181,27,22,0,64,3,204,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Bareland,168,12,145,3,7,0,0,82,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Built-up,293,49,0,14,18,23,2,190,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Forest,711,0,149,104,283,244,65,581,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Cropland,0,155,284,31,68,74,16,427,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFB_M_R,Water,655,384,198,0,444,412,26,484,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Cropland,0,0,0,116,0,0,0,0,0,0,166,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Grassland,0,0,0,34,0,0,0,0,0,0,81,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Wetland,0,0,0,181,0,0,0,0,0,0,299,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Bareland,0,0,0,15,0,0,0,0,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Built-up,0,0,0,52,0,0,0,0,0,0,70,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Water,0,0,0,0,0,0,0,0,0,0,942,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFB_M_R,Forest,0,0,0,303,0,0,0,0,0,0,392,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Grassland,493,124,81,57,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Bareland,181,1,163,19,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Built-up,167,13,0,22,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Forest,897,0,288,415,208,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Wetland,599,123,37,208,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Water,1079,226,220,0,176,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFB_M_R,Cropland,0,80,234,44,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Forest,69,0,0,218,96,20,159,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Cropland,0,350,0,162,75,90,280,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Wetland,36,497,0,260,0,0,154,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Water,60,655,0,0,180,14,99,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Built-up,179,178,0,142,5,104,77,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Bareland,17,12,0,22,11,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Grassland,36,81,0,16,10,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFB_M_R,Shrubland,0,2,0,0,0,0,0,0,0,0,0,0
