Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Shrubland,25,5,7,13,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Cropland,604,157,0,203,92,133,524,75,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Wetland,178,11,1,0,0,45,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Bareland,16,3,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Built-up,142,49,16,23,0,2,215,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Grassland,0,0,0,57,0,70,0,0,394,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Wetland,0,0,0,0,0,0,0,0,133,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Forest,0,0,0,152,0,173,0,0,1052,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Shrubland,0,0,0,0,0,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Cropland,0,0,0,71,0,120,0,0,508,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Water,0,0,0,214,0,0,0,0,319,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Bareland,0,0,0,0,0,26,0,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,Built-up,0,0,0,1,0,38,0,0,45,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Grassland,0,478,378,57,96,70,44,307,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Forest,242,0,537,152,179,173,96,448,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Cropland,106,576,0,71,221,120,65,342,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Wetland,5,70,12,0,4,0,2,22,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Bareland,4,40,73,0,55,26,0,26,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Shrubland,1,6,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Water,17,608,244,214,29,0,89,69,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,Built-up,11,93,145,1,0,38,16,71,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Grassland,0,0,0,0,0,140,0,0,0,0,48
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Cropland,0,0,0,0,0,164,0,0,0,0,83
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Wetland,0,0,0,0,0,64,0,0,0,0,66
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Water,0,0,0,0,0,0,0,0,0,0,288
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Forest,0,0,0,0,0,286,0,0,0,0,153
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,Built-up,0,0,0,0,0,5,0,0,0,0,4
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Grassland,0,131,795,0,150,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Bareland,0,3,122,0,95,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Forest,0,0,1132,5,383,224,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Wetland,0,11,181,0,10,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Water,0,75,825,25,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Shrubland,0,3,32,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Built-up,0,2,65,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,Cropland,0,88,0,0,198,8,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Forest,136,0,230,14,0,113,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Cropland,156,236,0,4,0,64,59,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Wetland,32,126,27,0,0,39,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Water,96,381,168,75,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Shrubland,5,33,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Bareland,3,13,32,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Built-up,10,72,130,0,0,6,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,Grassland,0,201,155,13,0,66,22,0,0,0,0
