Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Wetland,0,0,0,0,0,19,0,0,674,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Shrubland,0,0,0,0,0,0,0,0,117,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Grassland,0,0,10,0,0,15,0,0,669,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Forest,0,0,122,0,0,52,0,0,1787,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Water,0,0,175,0,0,0,0,0,904,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Cropland,0,0,2,0,0,2,0,0,561,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Bareland,0,0,0,0,0,7,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,Built-up,0,0,0,0,0,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Grassland,0,99,273,38,0,20,154,126,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Non_Wetland,8,1,17,0,0,2,4,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Forest,758,0,944,65,2,172,505,461,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Wetland,136,8,0,0,0,77,28,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Water,369,114,781,2,0,0,362,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Shrubland,54,18,48,2,0,3,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Cropland,521,153,241,0,11,16,317,119,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Bareland,25,0,11,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Built-up,99,3,19,13,0,0,139,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Grassland,0,0,0,0,0,125,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Wetland,0,0,0,0,0,116,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Shrubland,0,0,0,0,0,3,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Water,0,0,0,0,0,0,0,0,0,395,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Cropland,0,0,0,0,0,134,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Bareland,0,0,0,0,0,1,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,Forest,0,0,0,0,0,262,0,0,0,166,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Grassland,0,396,10,479,152,15,29,503,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Wetland,5,237,0,88,10,19,19,170,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Forest,251,0,122,802,223,52,83,707,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Bareland,0,9,0,117,118,7,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Water,33,572,175,451,42,0,90,357,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Shrubland,6,6,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Built-up,2,13,0,98,0,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Cropland,77,258,2,0,137,2,0,320,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Grassland,0,222,12,673,124,82,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Forest,0,0,101,768,236,410,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Shrubland,0,27,1,64,10,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Wetland,0,63,0,192,5,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Water,0,110,71,325,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Bareland,0,17,1,54,25,11,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Built-up,0,7,0,24,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,Cropland,0,106,2,0,92,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Wetland,101,362,0,27,0,169,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Forest,147,0,4,172,0,88,25,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Shrubland,39,91,0,31,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Cropland,137,237,4,0,0,50,34,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Water,60,476,39,31,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Bareland,10,64,6,16,0,15,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Built-up,11,80,0,37,0,1,1,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,Grassland,0,249,13,125,0,74,28,0,0,0,0,6
