Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Built-up,7,2,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Cropland,2,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Bareland,3,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Grassland,0,75,0,91,15,12,0,271,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Wetland,0,0,0,12,0,16,0,100,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Forest,3,138,1,0,8,35,0,276,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Bareland,0,0,0,2,1,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Water,0,149,0,72,0,0,0,155,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Shrubland,0,0,0,4,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Cropland,0,0,0,1,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,Built-up,0,0,0,1,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,Grassland,0,0,0,0,0,44,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,Shrubland,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,Wetland,0,0,0,0,0,106,0,0,0,38,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,Water,0,0,0,0,0,0,0,0,0,73,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,Forest,0,0,0,0,0,50,0,0,0,25,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Shrubland,0,3,0,21,20,1,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Grassland,0,3,0,79,19,29,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Water,0,5,0,8,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Wetland,0,0,0,66,9,85,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Forest,0,15,0,0,33,112,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Shrubland,34,5,3,36,0,7,0,0,11,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Wetland,108,0,4,139,0,88,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Forest,60,10,7,0,0,23,0,0,13,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Bareland,1,2,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Water,37,31,8,112,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Grassland,0,11,13,32,0,14,0,0,12,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
