Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Bareland,0,0,0,0,9,32,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Grassland,0,0,0,0,200,0,0,0,0,195,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Bareland,0,0,0,0,75,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Water,0,0,0,0,0,0,0,0,0,479,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Cropland,0,0,0,0,9,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Wetland,0,0,0,0,48,0,0,0,0,80,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Forest,0,0,0,0,185,0,0,0,0,186,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Built-up,0,0,0,0,2,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNP_M_R,Shrubland,0,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Grassland,238,414,165,115,63,140,0,344,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Forest,0,266,106,117,99,259,175,238,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Cropland,36,0,55,9,4,6,51,81,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Bareland,26,109,110,0,9,32,75,92,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Water,225,277,105,132,0,403,217,372,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Built-up,27,82,0,8,8,21,53,52,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Shrubland,1,5,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNP_M_R,Wetland,6,5,1,4,1,0,3,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Shrubland,0,21,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Grassland,127,562,139,6,302,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Forest,0,204,141,2,351,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Bareland,32,115,49,0,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Built-up,4,51,0,3,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Water,73,178,31,6,0,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Wetland,31,50,11,1,88,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNP_M_R,Cropland,7,0,18,6,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Shrubland,12,4,0,9,8,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Cropland,43,0,0,64,8,2,31,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Forest,0,42,0,41,52,6,38,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Bareland,21,16,0,0,23,2,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Water,457,38,0,114,0,89,103,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Built-up,88,63,0,50,12,1,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Wetland,137,11,0,23,63,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNP_M_R,Grassland,332,139,0,148,191,63,0,0,0,0,0,5
