Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Non_Wetland,0,9,4,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Forest,0,407,292,90,197,466,1,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Grassland,9,160,164,73,40,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Water,21,137,116,55,0,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Shrubland,0,8,7,3,4,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Cropland,1,13,108,23,2,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Bareland,0,4,0,1,12,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Built-up,1,31,70,0,6,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Permanent_ice_and_snow,0,2,5,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Wetland,0,0,0,0,93,0,0,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Bareland,0,0,0,0,19,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Shrubland,0,0,0,0,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Grassland,0,0,0,0,64,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Cropland,0,0,0,0,10,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Built-up,0,0,0,0,51,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Water,0,0,0,0,0,0,0,0,0,123,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Forest,0,0,0,0,160,0,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Grassland,128,17,51,92,9,0,112,142,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Wetland,24,0,18,26,2,22,11,34,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Forest,0,112,158,152,37,182,158,207,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Bareland,12,5,0,43,0,4,29,18,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Built-up,24,13,1,0,1,11,40,27,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Water,91,156,115,57,0,129,32,97,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Cropland,22,0,4,20,0,12,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLS_M_R,Permanent_ice_and_snow,3,0,1,1,0,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Grassland,70,15,1,110,39,0,193,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Forest,0,49,1,156,243,0,108,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Bareland,3,14,0,27,16,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Built-up,3,1,0,0,1,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Water,46,21,6,10,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Wetland,43,0,0,20,55,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Cropland,3,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLS_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Wetland,199,0,16,0,30,6,16,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Forest,0,0,6,0,9,21,47,0,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Bareland,23,0,0,0,6,1,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Built-up,53,0,12,0,1,2,32,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Water,317,0,37,0,0,5,4,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Grassland,220,3,42,0,55,0,75,0,0,0,0,57
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Shrubland,4,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLS_M_R,Cropland,10,0,20,0,0,0,0,0,0,0,0,0
