Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Lichens_and_Mosses,Wetland,Non_Water,Non_Wetland,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Cropland,0,0,0,0,5,0,0,6,0,24,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Cropland,30,0,15,19,5,47,0,6,0,0,52,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Wetland,14,9,0,3,11,44,0,0,0,0,35,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Water,73,52,14,37,0,102,0,50,0,0,91,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Bareland,38,17,0,28,14,48,0,12,0,0,45,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Built-up,10,5,6,0,1,15,0,2,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Forest,52,36,14,24,18,0,0,28,0,0,76,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Grassland,0,18,10,15,5,32,0,7,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R,Permanent_ice_and_snow,7,4,3,6,0,15,0,0,0,0,20,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Grassland,0,41,19,29,22,34,0,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Wetland,0,14,3,5,23,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Bareland,0,21,0,21,36,5,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Built-up,0,4,3,0,3,3,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Water,0,49,57,49,0,51,0,141,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Forest,0,40,21,40,48,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Cropland,0,0,10,25,5,13,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R,Permanent_ice_and_snow,0,3,4,5,10,4,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Cropland,12,0,7,0,8,7,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Wetland,22,29,25,0,40,32,0,0,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Bareland,3,3,0,0,16,3,0,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Built-up,12,8,9,0,20,11,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Water,19,31,48,0,0,56,0,27,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Forest,32,26,21,0,33,0,0,14,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R,Grassland,0,8,9,0,10,10,0,5,0,0,0,6
