Dataset,MajorityClass,Forest,Wetland,Water,Built-up,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Cropland,0,2,5,0,17,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Wetland,3,0,36,0,24,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Lichens_and_Mosses,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Bareland,0,1,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Built-up,0,0,1,0,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Grassland,0,0,24,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Wetland,0,0,40,0,0,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Forest,0,0,100,0,0,0,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Water,0,0,0,0,0,0,0,0,96,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTL_M_R,Bareland,0,0,3,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Grassland,57,21,5,31,25,0,70,0,0,69,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Forest,0,129,28,16,83,47,111,0,0,54,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Wetland,4,0,0,0,5,0,8,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Bareland,5,4,0,8,0,1,6,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Water,41,187,0,12,57,1,45,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Cropland,3,0,0,0,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,Grassland,43,0,25,0,3,0,0,0,0,70,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,Bareland,0,0,4,0,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,Forest,0,1,151,0,1,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,Water,26,0,0,0,15,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,Wetland,32,0,54,0,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTL_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Forest,0,0,1,0,4,10,0,0,0,7,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Wetland,100,0,13,0,4,6,0,0,0,2,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Water,223,7,0,0,16,1,0,0,0,5,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Grassland,100,11,15,0,18,0,0,0,0,22,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Built-up,1,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Bareland,3,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTL_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
