Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Non_Wetland,0,1,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Grassland,4,0,0,0,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Bareland,2,3,1,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Forest,0,87,110,90,284,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Shrubland,3,2,0,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Wetland,5,8,58,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Built-up,2,7,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUQ_M_R,Water,52,1,0,105,186,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Grassland,0,0,0,0,3,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Wetland,0,0,11,0,0,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Shrubland,0,0,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Bareland,0,0,11,0,35,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Built-up,0,0,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Forest,0,0,54,0,146,354,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUQ_M_R,Water,0,0,0,0,159,107,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,Bareland,0,0,45,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,Wetland,0,0,55,0,0,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,Water,0,0,0,0,0,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,Forest,0,0,120,0,0,0,60,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUQ_M_R,Grassland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,Grassland,7,0,0,10,3,0,0,21,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,Wetland,3,1,11,15,0,0,0,20,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,Bareland,18,3,11,0,35,0,0,5,1,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,Water,50,10,0,44,159,0,0,31,5,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUQ_M_R,Forest,0,26,54,107,146,0,0,99,20,13,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,Water,52,0,0,15,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,Forest,0,0,196,0,18,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,Grassland,8,0,0,0,1,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,Wetland,55,0,64,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUQ_M_R,Bareland,34,0,25,0,4,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,Wetland,182,1,31,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,Forest,0,1,9,5,1,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,Water,276,1,0,16,14,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,Bareland,6,0,15,0,3,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,Grassland,41,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUQ_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0,0
