Dataset,MajorityClass,Forest,Wetland,Bareland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Grassland,0,123,0,0,0,17,0,0,780,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Wetland,0,0,0,0,0,167,0,0,969,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Forest,0,185,0,0,0,65,0,0,900,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Water,0,519,0,0,0,0,0,0,575,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Shrubland,0,0,0,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Bareland,0,19,0,0,0,1,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Built-up,0,23,0,0,0,6,0,0,127,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,Cropland,0,9,0,0,0,0,0,0,71,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Wetland,87,0,258,163,4,627,465,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Non_Wetland,0,3,2,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Forest,0,518,267,60,21,77,449,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Grassland,48,354,233,133,35,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Water,45,658,150,34,13,0,151,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Shrubland,1,9,18,13,3,3,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Bareland,0,10,0,11,0,3,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Built-up,2,71,142,17,0,11,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Cropland,7,34,55,0,4,2,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Grassland,0,0,0,0,0,229,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Wetland,0,0,0,0,0,1116,0,0,0,512,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Water,0,0,0,0,0,0,0,0,0,285,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Built-up,0,0,0,0,0,64,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Forest,0,0,0,0,0,209,0,0,0,55,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Bareland,0,0,0,0,0,18,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,Cropland,0,0,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Grassland,157,123,109,10,75,17,0,299,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Wetland,131,0,222,0,31,167,181,210,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Bareland,13,19,0,0,54,1,39,91,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Forest,0,185,190,20,96,65,332,296,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Built-up,17,23,10,0,0,6,75,96,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Water,108,519,193,0,49,0,123,145,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Cropland,32,9,16,0,11,0,56,54,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Grassland,171,161,11,281,200,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Forest,0,108,5,160,188,180,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Wetland,314,0,52,236,179,334,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Bareland,24,6,0,22,53,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Built-up,1,2,0,8,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Water,140,411,69,64,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Cropland,4,4,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Wetland,766,0,168,240,0,433,527,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Forest,0,4,27,103,0,23,73,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Water,347,150,77,60,0,0,186,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Bareland,26,0,0,12,0,0,7,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Built-up,49,0,6,26,0,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Cropland,1,0,9,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Grassland,283,30,63,140,0,40,0,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
