Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R
28,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
29,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
30,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
31,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
32,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
36,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
37,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
39,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
40,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
41,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
42,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
43,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
44,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
45,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
47,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
48,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
49,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
50,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
52,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
54,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
55,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
58,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
59,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
60,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
61,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
62,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
63,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
64,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
65,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
66,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
68,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
69,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
71,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
72,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
73,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
74,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
75,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
76,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
77,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
78,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
79,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
80,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
81,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
82,Water,Water,Water,NULL,Water,NULL,NULL,Water
83,Water,Water,Water,NULL,Water,NULL,NULL,Forest
84,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
85,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
86,Water,Water,Water,Water,Water,NULL,NULL,Grassland
87,Water,Water,Water,Water,Water,NULL,NULL,Water
88,Water,Water,Water,Water,Water,NULL,NULL,Forest
89,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
90,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
91,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
92,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
93,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
94,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
95,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
96,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
97,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
98,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
99,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
100,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
101,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
102,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
103,Water,Forest,Water,NULL,Water,NULL,NULL,Water
104,Water,Forest,Water,Water,Water,NULL,NULL,Water
105,Water,Forest,Water,Water,Water,NULL,NULL,Forest
106,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
107,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
108,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
109,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
112,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
113,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
114,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
115,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
116,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
117,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
118,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
119,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
120,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
121,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
123,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
125,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
126,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
128,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
130,Forest,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
131,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
133,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
134,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
135,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
136,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
137,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
138,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
139,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
140,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
141,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
142,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
143,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
144,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
145,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
146,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
147,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
148,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
149,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
150,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
152,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
153,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
154,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
155,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
156,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
157,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
158,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
159,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
160,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
161,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
162,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
163,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
164,Forest,Water,Water,NULL,Water,NULL,NULL,Water
165,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
166,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
167,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
168,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
169,Forest,Water,Water,Water,Water,NULL,NULL,Water
170,Forest,Water,Water,Water,Water,NULL,NULL,Forest
171,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
172,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
173,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
175,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
176,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
177,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
178,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
179,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
180,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
184,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
185,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
188,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
189,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
190,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
191,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
193,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
194,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
195,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
196,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
197,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
198,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
199,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
200,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
201,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
202,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
203,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
204,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
205,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
206,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
207,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
208,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
209,Forest,Forest,Water,Water,Water,NULL,NULL,Water
210,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
211,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
212,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
213,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
214,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
215,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
216,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
218,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
219,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
220,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
221,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
