Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Water,365,13,1310,0,329,38,61,767,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Forest,675,229,966,238,0,66,229,1084,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Built-up,221,16,220,11,38,0,3,137,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Non_Water,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Shrubland,124,30,159,44,39,30,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGJ_M_R,Cropland,609,0,543,36,187,176,16,421,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Shrubland,0,0,0,0,0,0,0,0,254,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Wetland,0,0,0,13,0,0,0,0,248,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Grassland,0,0,0,49,0,0,42,0,135,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Water,0,0,0,0,0,0,434,0,320,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Forest,0,0,0,230,0,0,216,0,664,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Cropland,0,0,0,42,0,0,29,0,137,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Bareland,0,0,0,79,0,0,22,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGJ_M_R,Built-up,0,0,0,23,0,0,4,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Shrubland,132,0,58,92,58,29,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Non_Wetland,1,0,1,4,2,0,6,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Grassland,0,0,88,144,168,48,33,305,0,0,0
