Dataset,MajorityClass,Forest,Wetland,Water,Cropland,Bareland,Grassland,Built-up,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Grassland,4,77,0,0,22,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Shrubland,0,4,0,0,6,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Forest,0,225,59,0,90,166,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Water,85,180,0,0,63,27,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Wetland,14,0,67,0,11,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Built-up,1,41,3,0,37,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Cropland,0,10,0,0,7,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Bareland,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCK_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Grassland,61,7,4,1,0,0,18,0,99,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Forest,0,119,81,14,0,78,48,0,229,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Wetland,36,0,15,1,0,5,7,0,67,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Bareland,13,4,5,0,0,3,2,0,40,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Water,206,233,0,0,0,9,13,0,184,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Cropland,16,0,0,0,0,1,1,0,32,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Built-up,37,1,0,4,0,24,0,0,85,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCK_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,1,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Shrubland,0,0,3,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Wetland,0,0,120,0,0,0,0,0,0,53,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Water,0,0,0,0,0,0,0,0,0,177,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Forest,0,0,140,0,0,0,0,0,0,66,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Built-up,0,0,17,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Grassland,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Cropland,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCK_M_R,Bareland,0,0,10,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Bareland,5,0,0,2,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Forest,0,58,155,8,9,0,131,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Water,92,147,0,3,12,0,72,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Grassland,70,3,0,2,1,0,55,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Wetland,74,0,98,3,2,0,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Cropland,5,1,1,0,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCK_M_R,Permanent_ice_and_snow,4,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,Wetland,116,0,146,26,11,34,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,Forest,0,9,194,59,23,31,0,0,0,0,49
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,Water,193,57,0,35,34,13,0,0,0,0,40
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,Built-up,16,0,77,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,Grassland,38,5,51,17,4,0,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCK_M_R,Bareland,4,0,4,2,0,0,0,0,0,0,0
