Dataset,MajorityClass,Forest,Built-up,Grassland,Bareland,Water,Wetland,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,Grassland,0,0,0,0,0,2,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,Forest,0,0,0,0,49,83,0,0,112,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,Water,0,0,0,0,0,92,0,0,27,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Water,62,0,0,4,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Grassland,31,27,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Forest,0,38,0,0,125,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Wetland,11,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Cropland,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Bareland,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,Forest,0,0,20,17,76,2,0,43,0,30,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,Wetland,18,0,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,Grassland,25,0,0,2,6,2,0,12,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,Water,161,0,0,12,0,1,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLK_M_R,Wetland,0,0,0,0,4,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLK_M_R,Water,0,0,0,0,0,0,0,0,0,0,89
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLK_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLK_M_R,Forest,0,0,0,0,68,0,0,0,0,0,54
