Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Forest,Shrubland,Grassland,Cropland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Forest,0,492,156,68,0,68,189,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Cropland,0,9,4,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Bareland,0,95,102,0,8,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Built-up,0,65,11,0,22,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,Permanent_ice_and_snow,0,32,10,0,4,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Wetland,0,0,565,0,0,0,0,0,0,388,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Grassland,0,0,21,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Water,0,0,0,0,0,0,0,0,0,310,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Forest,0,0,97,0,0,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Bareland,0,0,30,0,0,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,Built-up,0,0,1,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Grassland,0,16,4,5,31,109,0,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Wetland,0,0,113,64,90,345,90,3,68,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Forest,0,174,57,35,0,310,123,11,67,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Bareland,0,30,0,0,9,94,21,5,37,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Water,0,344,0,23,94,246,67,0,59,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Shrubland,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Cropland,0,0,0,0,0,11,1,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Built-up,0,0,0,0,3,23,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,Permanent_ice_and_snow,0,0,0,0,4,37,2,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Wetland,0,0,210,101,178,0,0,39,167,0,8
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Water,0,312,0,149,72,0,0,9,80,0,6
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Grassland,0,23,10,7,53,0,0,0,39,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Forest,0,98,116,6,0,0,0,7,109,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Bareland,0,19,3,0,8,0,0,5,13,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,Permanent_ice_and_snow,0,0,1,3,4,0,0,0,10,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Wetland,0,0,181,265,586,0,92,140,0,0,250
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Water,0,99,0,240,353,0,26,68,0,0,202
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Forest,0,19,11,13,0,0,6,3,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Grassland,0,15,6,34,83,0,0,7,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Built-up,0,0,0,6,12,0,0,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,Shrubland,0,0,0,0,12,0,0,0,0,0,0
