Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Built-up,135,32,44,48,129,0,35,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Bareland,35,6,5,4,0,9,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLS_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Grassland,0,0,0,99,0,0,24,0,432,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Wetland,0,0,0,0,0,0,2,0,464,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Forest,0,0,0,217,0,0,78,0,1064,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Shrubland,0,0,0,0,0,0,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Cropland,0,0,0,68,0,0,3,0,360,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Water,0,0,0,481,0,0,0,0,652,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Bareland,0,0,0,9,0,0,9,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLS_M_R,Built-up,0,0,0,17,0,0,6,0,61,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Grassland,0,0,0,0,0,0,117,0,0,217,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Water,0,0,0,0,0,0,0,0,0,1243,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Bareland,0,0,0,0,0,0,34,0,0,67,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Shrubland,0,0,0,0,0,0,5,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Cropland,0,0,0,0,0,0,100,0,0,266,0,0
