Dataset,MajorityClass,Wetland,Bareland,Grassland,Forest,Shrubland,Water,Built-up,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Water,236,0,0,0,0,0,0,0,153,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Shrubland,0,0,0,0,0,0,0,0,14,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Forest,111,0,0,0,0,53,0,0,341,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Bareland,4,0,0,0,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Cropland,0,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Grassland,0,0,0,0,0,27,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Wetland,0,0,0,0,0,195,0,0,0,18
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Bareland,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Forest,0,0,0,0,0,165,0,0,0,50
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,Water,0,0,0,0,0,0,0,0,0,83
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Grassland,29,3,0,62,94,13,10,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Forest,111,21,95,0,148,53,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Wetland,0,0,2,17,19,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Bareland,4,0,5,8,19,0,2,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Water,236,27,31,149,114,0,1,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Cropland,0,0,3,4,15,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,Built-up,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,Grassland,0,0,0,35,0,23,7,88,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,Forest,50,1,0,0,0,179,1,53,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,Bareland,0,0,0,0,0,9,1,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,Water,72,15,0,43,0,0,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,Wetland,0,18,0,26,0,70,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,Forest,16,1,20,0,0,31,0,24,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,Water,17,15,5,268,0,0,0,10,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,Wetland,0,9,1,153,0,39,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,Grassland,8,6,0,73,0,37,0,35,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,Bareland,0,0,0,8,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0
