Dataset,MajorityClass,Grassland,Built-up,Forest,Cropland,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Non_Wetland,10,0,4,0,5,7,13,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Grassland,0,57,49,45,290,109,212,241,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Wetland,416,9,77,0,359,535,0,476,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Bareland,179,60,16,2,0,42,37,103,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Forest,1087,220,0,38,917,438,857,1253,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Water,715,160,311,0,1646,0,774,1025,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Shrubland,139,41,26,6,155,46,80,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Built-up,217,0,70,2,377,5,71,197,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Cropland,589,128,74,0,526,48,124,242,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Lichens_and_Mosses,4,1,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWC_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Grassland,0,0,0,0,0,163,0,0,0,149,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Shrubland,0,0,0,0,0,93,0,0,0,73,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Wetland,0,0,0,0,0,508,0,0,0,561,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Bareland,0,0,0,0,0,244,0,0,0,202,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Water,0,0,0,0,0,0,0,0,0,1519,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Cropland,0,0,0,0,0,47,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Built-up,0,0,0,0,0,58,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWC_M_R,Forest,0,0,0,0,0,462,0,0,0,455,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Grassland,0,211,398,635,43,121,119,703,0,0,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Wetland,16,31,352,177,36,187,0,395,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Bareland,13,361,224,630,0,149,88,550,0,0,36,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Forest,178,376,0,1039,128,453,387,1116,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Built-up,5,0,155,346,1,100,18,279,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Water,9,277,783,733,144,0,806,888,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Shrubland,10,35,45,55,14,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Cropland,22,116,191,0,3,38,10,381,0,0,31,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWC_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Grassland,0,211,173,595,5,98,31,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Wetland,0,77,242,405,1,343,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Forest,0,659,0,620,1,571,167,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Shrubland,0,141,86,187,2,89,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Bareland,0,228,131,230,0,225,44,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Built-up,0,0,30,42,17,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Water,0,370,258,429,106,0,215,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWC_M_R,Cropland,0,99,53,0,1,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Wetland,257,0,999,127,126,439,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Forest,105,0,0,166,127,138,55,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Shrubland,82,0,330,106,95,142,43,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Bareland,33,0,189,53,0,190,16,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Cropland,82,0,176,0,84,47,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Built-up,34,0,299,158,151,101,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Water,148,0,1270,205,181,0,260,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWC_M_R,Grassland,0,0,356,165,160,144,45,0,0,0,0,1
