Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Non_Water,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Shrubland,46,20,7,46,33,9,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Bareland,31,77,3,0,7,13,3,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Water,145,18,111,332,265,5,0,201,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Cropland,412,0,69,493,102,119,44,167,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Built-up,109,65,12,210,8,0,3,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Wetland,0,0,0,0,0,0,4,0,93,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Grassland,0,0,0,0,36,0,38,0,195,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Forest,0,0,0,0,292,0,179,0,848,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Bareland,0,0,0,0,1,0,21,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Water,0,0,0,0,291,0,0,0,286,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Shrubland,0,0,0,0,0,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Cropland,0,0,0,0,20,0,44,0,266,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,Built-up,0,0,0,0,1,0,16,0,26,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Grassland,0,0,0,0,0,0,32,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Shrubland,0,0,0,0,0,0,5,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Water,0,0,0,0,0,0,0,0,0,208,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Cropland,0,0,0,0,0,0,20,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Wetland,0,0,0,0,0,0,51,0,0,49,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Forest,0,0,0,0,0,0,192,0,0,126,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,Bareland,0,0,0,0,0,0,5,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Grassland,0,273,213,22,36,91,38,425,0,0,35,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Bareland,0,164,65,0,1,103,21,197,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Forest,37,500,0,99,292,177,179,801,0,0,27,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Wetland,0,4,21,4,0,0,4,36,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Cropland,23,0,226,10,20,165,44,465,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Built-up,0,142,29,1,1,0,16,143,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Water,7,176,249,43,291,26,0,370,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,Shrubland,0,11,8,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Grassland,0,540,151,8,0,119,68,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Forest,0,592,0,1,18,302,426,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Shrubland,0,104,55,0,0,39,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Wetland,0,84,98,0,0,10,82,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Bareland,0,223,44,0,0,125,45,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Built-up,0,79,8,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Water,0,290,120,1,22,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,Cropland,0,0,130,13,0,166,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Forest,100,168,0,129,4,0,92,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Shrubland,40,24,110,27,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Wetland,31,7,237,8,0,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Cropland,154,0,214,203,3,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Water,22,25,423,41,13,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Bareland,5,20,48,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Built-up,12,80,80,67,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,Grassland,0,83,161,80,4,0,41,0,0,0,0,0
